"filename", "language", "JSON", "JavaScript", "Go", "Markdown", "TypeScript", "CSS", "HTML", "SQL", "PHP", "Log", "comment", "blank", "total"
"c:\在修改的内容\jbbot\zmng\res\ts11.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 3
"c:\在修改的内容\jbbot\zmng\res\web.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 25
"c:\在修改的内容\jbbot\zmng\shangxiafen.htm", "HTML", 0, 0, 0, 0, 0, 0, 145, 0, 0, 0, 60, 52, 257
"c:\在修改的内容\jbbot\zmng\shangxiafen.js", "JavaScript", 0, 141, 0, 0, 0, 0, 0, 0, 0, 0, 49, 114, 304
"c:\在修改的内容\jbbot\zmng\test\ati1990fp4nodeTest.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9
"c:\在修改的内容\jbbot\zmng\test\dblowT.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 10, 24, 46
"c:\在修改的内容\jbbot\zmng\test\lowDbTest.js", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 9, 23, 55
"c:\在修改的内容\jbbot\zmng\test\lowdbTst.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14, 27
"c:\在修改的内容\jbbot\zmng\test\pkgTest.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12, 24
"c:\在修改的内容\jbbot\zmng\test\userColl4.json", "JSON", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50
"c:\在修改的内容\jbbot\zmng\test\web.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 9, 43, 57
"c:\在修改的内容\jbbot\zmng\web.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 25
"Total", "-", 348, 2327, 17, 22, 2, 7, 339, 114, 4, 1, 779, 1620, 5580
